Bracket
Djokovic N
Janowicz J
Veselý J
Myneni S
Fratangelo B
Pella G
Youzhny M
Kližan M
Isner J
Tiafoe F
Thompson J
Darcis S
Lacko L
Escobedo E
Edmund K
Gasquet R
W Tsonga J
Andreozzi G
Duckworth J
Haase R
Pospisil V
Kovalík J
Nishioka Y
Anderson K
Sock J
Fritz T
Zverev M
H Herbert P
Stakhovsky S
Elias G
Dutra Silva R
?ili? M
Nadal R
Istomin D
Robert S
Seppi A
Bellucci T
Kuznetsov A
Benneteau J
Ramos-Viñolas A
Pouille L
Kukushkin M
Clezar G
Chiudinelli M
Baker B
Delbonis F
García-López G
Bautista Agut R
Monfils G
Müller G
Šátral J
McDonald M
Fucsovics M
Almagro N
Sela D
Cuevas P
Paire B
Lajovi? D
Baghdatis M
Bagnis F
Mannarino A
Harrison R
Brown D
Raonic M
Thiem D
Millman J
Berankis R
Jaziri M
Carreño Busta P
Ivashka I
Tipsarevi? J
Querrey S
Johnson S
Donskoy E
#VALUE!
Schwartzman D
Gabashvili T
Fognini F
Dolgopolov A
Ferrer D
Kyrgios N
Bedene A
Zeballos H
Mayer F
Dodig I
Marchenko I
žumhurD 
Tomic B
Zverev A
Brands D
Evans D
Ram R
Kudla D
Giannessi A
Verdasco F
Wawrinka S
Nishikori K
Becker B
Khachanov K
Fabbiano T
Harrison C
H Mathieu P
Mahut N
Kohlschreiber P
Karlovi? I
h Lu Y
Young D
L Struff J
Troicki V
Albot R
Donaldson J
Goffin D
López F
?ori? B
Estrella Burgos V
Sousa J
Mmoh M
Chardy J
Cervantes Í
Dimitrov G
Simon G
Št?pánek R
Berlocq C
Lorenzi P
Granollers M
Mónaco J
Rosol L
Murray A
